ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1415061199.46523,template1,0,0,0,0,0,0,0,0,0,0
1415061199.46523,template0,0,0,0,0,0,0,0,0,0,0
1415061199.46523,postgres,0,1070,3,5672,36329,494315,11721,0,0,0
1415061199.46523,dbt3,11,14189,0,2587141357,2591721096,67046407604,39639849326,608165453,1516,1129652
1415061259.47542,template1,0,0,0,0,0,0,0,0,0,0
1415061259.47542,template0,0,0,0,0,0,0,0,0,0,0
1415061259.47542,postgres,0,1072,3,5672,36387,495241,11732,0,0,0
1415061259.47542,dbt3,9,14262,0,2587885288,2593870407,67091818250,39639856348,634765736,1585,1129656
1415061319.48108,template1,0,0,0,0,0,0,0,0,0,0
1415061319.48108,template0,0,0,0,0,0,0,0,0,0,0
1415061319.48108,postgres,0,1074,3,5672,36445,496167,11743,0,0,0
1415061319.48108,dbt3,6,14281,0,2588136509,2594890182,67151824174,39639858614,634765800,1586,1129656
1415061379.49138,template1,0,0,0,0,0,0,0,0,0,0
1415061379.49138,template0,0,0,0,0,0,0,0,0,0,0
1415061379.49138,postgres,0,1076,3,5672,36503,497093,11754,0,0,0
1415061379.49138,dbt3,6,14293,0,2588136509,2594893479,67151829287,39639860034,634765800,1586,1129656
1415061439.49687,template1,0,0,0,0,0,0,0,0,0,0
1415061439.49687,template0,0,0,0,0,0,0,0,0,0,0
1415061439.49687,postgres,0,1078,3,5672,36561,498019,11765,0,0,0
1415061439.49687,dbt3,5,14307,0,2588136509,2594897332,67151835033,39639861758,634765800,1586,1129656
1415061499.49331,template1,0,0,0,0,0,0,0,0,0,0
1415061499.49331,template0,0,0,0,0,0,0,0,0,0,0
1415061499.49331,postgres,0,1080,3,5672,36619,498945,11776,0,0,0
1415061499.49331,dbt3,13,14326,0,2589202189,2597208201,67151839634,39639862987,694751852,1586,1129656
1415061559.49526,template1,0,0,0,0,0,0,0,0,0,0
1415061559.49526,template0,0,0,0,0,0,0,0,0,0,0
1415061559.49526,postgres,0,1082,3,5672,36677,499871,11787,0,0,0
1415061559.49526,dbt3,12,14341,0,2591328895,2597215925,67271817090,39639864647,694751860,1588,1129656
1415061619.49761,template1,0,0,0,0,0,0,0,0,0,0
1415061619.49761,template0,0,0,0,0,0,0,0,0,0,0
1415061619.49761,postgres,0,1084,3,5672,36735,500797,11798,0,0,0
1415061619.49761,dbt3,8,14359,0,2595225866,2597584862,67511767119,39639866757,694751882,1588,1129656
1415061679.50755,template1,0,0,0,0,0,0,0,0,0,0
1415061679.50755,template0,0,0,0,0,0,0,0,0,0,0
1415061679.50755,postgres,0,1086,3,5672,36793,501723,11809,0,0,0
1415061679.50755,dbt3,4,14377,0,2597340820,2597605214,67631745646,39639869085,694751896,1588,1129656
1415061739.51,template1,0,0,0,0,0,0,0,0,0,0
1415061739.51,template0,0,0,0,0,0,0,0,0,0,0
1415061739.51,postgres,0,1088,3,5672,36851,502649,11820,0,0,0
1415061739.51,dbt3,6,14389,0,2597340820,2597608023,67631750240,39639870230,694751896,1588,1129656
1415061799.51759,template1,0,0,0,0,0,0,0,0,0,0
1415061799.51759,template0,0,0,0,0,0,0,0,0,0,0
1415061799.51759,postgres,0,1090,3,5672,36909,503575,11831,0,0,0
1415061799.51759,dbt3,4,14405,0,2597340820,2597611944,67631756114,39639871983,694751896,1588,1129656
