# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415061909;4999.47;29893.60;65066.65;0.05;21483.10;0.00;0.00;0.00;0.00
axle;60;1415061969;5337.33;4907.20;9057.68;0.03;9726.78;0.00;204.80;204.80;100.00
axle;60;1415062029;4659.27;3545.47;97095.07;0.13;13116.27;0.00;17.07;17.07;100.00
axle;60;1415062089;4987.87;3599.20;57039.80;0.13;16628.28;0.00;34.13;34.13;100.00
axle;60;1415062149;4270.27;3692.40;39214.93;0.10;10555.18;0.00;0.00;0.00;0.00
axle;60;1415062209;4478.00;3667.33;106726.58;0.17;14973.37;0.00;0.00;0.00;0.00
axle;60;1415062269;5635.07;3892.47;23810.38;0.30;9170.90;0.00;0.00;0.00;0.00
axle;60;1415062329;5233.27;3850.00;91356.80;0.33;11809.68;0.00;25.80;18.23;70.67
axle;60;1415062389;4377.07;4207.87;85863.75;0.18;13658.38;0.00;0.00;0.00;0.00
