# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415062456;sdb;1540.50;9489.73;82585.07;59.77;3.89;2.53;0.04;5.43
axle;60;1415062456;sda;15.98;8.40;880.00;55.58;0.00;0.31;0.15;0.24
axle;60;1415062516;sdb;1842.73;8523.33;65276.93;40.05;5.32;2.89;0.03;5.95
axle;60;1415062516;sda;13.03;8.13;510.13;39.76;0.00;0.33;0.20;0.26
axle;60;1415062576;sdb;2579.57;8503.87;75452.53;32.55;6.78;2.63;0.03;8.16
axle;60;1415062576;sda;18.85;20.53;788.67;42.93;0.02;0.86;0.35;0.67
axle;60;1415062636;sdb;158.52;8400.93;9246.93;111.33;0.26;1.66;0.11;1.81
axle;60;1415062636;sda;21.53;13.20;496.00;23.65;0.03;1.18;0.32;0.69
axle;60;1415062696;sdb;242.43;9408.53;10032.67;80.19;1.45;6.00;0.11;2.59
axle;60;1415062696;sda;30.10;9.47;513.20;17.36;0.01;0.26;0.11;0.34
axle;60;1415062756;sdb;210.68;8992.13;9490.93;87.73;0.40;1.89;0.08;1.61
axle;60;1415062756;sda;15.92;12.67;443.60;28.67;0.01;0.57;0.23;0.37
axle;60;1415062816;sdb;270.55;9166.13;8707.60;66.06;0.89;3.27;0.10;2.65
axle;60;1415062816;sda;96.48;2887.87;81.07;30.77;0.18;1.84;1.02;9.81
axle;60;1415062876;sdb;216.95;8488.80;9832.93;84.45;0.82;3.78;0.11;2.41
axle;60;1415062876;sda;406.05;18051.33;77.47;44.65;0.44;1.08;0.72;29.17
