# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415062456;2773356;261346200;98.95;101804;222783108;134661628;49.20;174438208;77336912
axle;60;1415062516;904652;263214904;99.66;102036;222885700;136435248;49.85;176798068;76850492
axle;60;1415062576;1421348;262698208;99.46;102280;223073364;135750212;49.60;176540492;76616312
axle;60;1415062636;3329396;260790160;98.74;102320;221722548;135310740;49.44;174518816;76743144
axle;60;1415062696;880356;263239200;99.67;102464;221792572;137653256;50.30;176901116;76806084
axle;60;1415062756;4404340;259715216;98.33;102520;221427552;134477568;49.14;173243964;76925468
axle;60;1415062816;3654356;260465200;98.62;105192;221792948;134900148;49.29;173830988;77065040
axle;60;1415062876;2246276;261873280;99.15;114628;222587304;135447184;49.49;174613472;77659272
