Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

00:53:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:54:16        all      9.18      0.00      2.36      0.06      0.00     88.40
00:55:16        all      9.84      0.00      1.68      0.07      0.00     88.41
00:56:16        all      9.50      0.00      1.91      0.08      0.00     88.52
00:57:16        all      8.11      0.00      1.94      0.00      0.00     89.95
00:58:16        all      8.32      0.00      1.59      0.02      0.00     90.07
00:59:16        all      8.42      0.00      1.54      0.01      0.00     90.04
01:00:16        all      8.73      0.06      1.41      0.15      0.00     89.65
01:01:16        all      8.70      0.34      2.44      0.43      0.00     88.09
