Linux 3.11.0-17-generic (axle) 	04/11/14 	_x86_64_	(64 CPU)

00:33:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:34:10        all      7.77      0.00      1.27      0.28      0.00     90.68
00:35:10        all      5.82      0.00      0.98      0.19      0.00     93.01
00:36:10        all      4.77      0.00      0.38      0.08      0.00     94.77
00:37:10        all      4.68      0.00      0.40      0.11      0.00     94.81
00:38:10        all      4.50      0.00      0.57      0.13      0.00     94.81
00:39:10        all      5.95      0.00      1.91      0.59      0.00     91.56
00:40:10        all      9.15      0.00      1.75      0.13      0.00     88.97
00:41:10        all      6.83      0.00      0.53      0.13      0.00     92.51
00:42:10        all      4.85      0.00      0.28      0.01      0.00     94.86
00:43:10        all      4.83      0.00      0.27      0.01      0.00     94.88
