# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415061250;15971028;248148528;93.95;105460;209961828;134338956;49.09;152177344;86393872
axle;60;1415061310;10566616;253552940;96.00;105696;215360220;134270056;49.06;156409156;87558692
axle;60;1415061370;8203192;255916364;96.89;105992;217721112;134286604;49.07;158548568;87781324
axle;60;1415061430;5892236;258227320;97.77;106228;220022944;134286604;49.07;160657848;87971292
axle;60;1415061490;3545436;260574120;98.66;106540;221444228;135600120;49.55;163003780;87989872
axle;60;1415061550;442016;263677540;99.83;99728;215823648;145410624;53.13;170903816;83217116
axle;60;1415061610;3610856;260508700;98.63;98208;210710456;145988864;53.34;170575780;80412372
axle;60;1415061670;9253648;254865908;96.50;98436;212566024;138368628;50.56;163297712;82065108
axle;60;1415061730;8183944;255935612;96.90;98640;213639528;138335048;50.55;163490456;82945880
axle;60;1415061790;6604044;257515512;97.50;98844;215224028;138351292;50.55;164598772;83420692
